"dataset","horizon","Mean (SD)","Median (range)","percentile_05","percentile_125","percentile_25","percentile_375","percentile_625","percentile_75","percentile_875","percentile_95"
"FluSurv-NET","0","0 (1.2)","0 (-9.9, 16.1)",-1.7,-0.8,-0.3,-0.1,0.1,0.3,0.8,1.7
"NHSN","0","0 (1.1)","0 (-6.2, 10.1)",-1.6,-0.8,-0.3,-0.1,0.1,0.3,0.7,1.7
